Algs,Precision,Recall,RMSE,MAE,Time
 SVD             ,0.874552,0.25843,0.936126,0.737589, 0:00:07 
 SVDpp           ,0.881821,0.26783,0.921731,0.723006, 0:03:41 
 NMF             ,0.854315,0.257621,0.963847,0.75767, 0:00:05 
 SlopeOne        ,0.870293,0.260542,0.945872,0.74335, 0:00:03 
 KNNBasic        ,0.845545,0.275491,0.979734,0.773628, 0:00:04 
 KNNWithMeans    ,0.896258,0.249641,0.951085,0.749458, 0:00:05 
 KNNBaseline     ,0.875315,0.263906,0.930671,0.733212, 0:00:05 
 CoClustering    ,0.871052,0.274945,0.965086,0.755117, 0:00:02 
 BaselineOnly    ,0.88632,0.229749,0.943969,0.748373, 0:00:00 
 NormalPredictor ,0.598462,0.266591,1.52308,1.22246, 0:00:00 
